Ýrsaliye Tarihi,Ýrsaliye No,Resmi Belge No,Satýþ Tipi,Müþteri Ünvaný,Nakliyeci Ünvan,Plaka,Miktar, Nakliye Yerel Tutar , Nakliye Yerel Tutar Toplam , Nakliye Firma Tutar , Nakliye Firma Tutar Toplam ,Þehir
21/02/2023,"2,523",12992,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),05 983 GA,"25,760", -   , -   , -   , -   ,PRISHTINE
21/02/2023,"2,524",12993,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 020 XG,"21,800", -   , -   , -   , -   ,FUSHE KRUJE
21/02/2023,"2,525",12994,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,AB 052 DV,"26,820", -   , -   , -   , -   ,LIPJAN
21/02/2023,"2,526",12995,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 0452 AR,"20,480", -   , -   , -   , -   ,SHKUP
21/02/2023,"2,527",12996,Yurt Dýþý,SS ALGA  (MONTENEGRO),ARMAND VELIAJ,AA 134 OM,"26,340"," 2,308.80 "," 60,813.79 ", 20.00 , 526.80 ,PODGORICE
21/02/2023,"2,528",12997,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 421 EJ,"27,880", -   , -   , -   , -   ,FUSHE KRUJE
21/02/2023,"2,529",12998,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 053 GY,"33,080", -   , -   , -   , -   ,FUSHE KRUJE
21/02/2023,"2,530",1,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA 992 PC,"24,940", -   , -   , -   , -   ,SHKUP
21/02/2023,"2,531",2,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 925 ED,"26,400", -   , -   , -   , -   ,VITI
21/02/2023,"2,532",3,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"34,580", -   , -   , -   , -   ,ELBASAN
21/02/2023,"2,533",4,Yurt Dýþý,SS ALGA  (MONTENEGRO),ARMAND VELIAJ,AA 929 UO,"25,400"," 2,308.80 "," 58,643.52 ", 20.00 , 508.00 ,PODGORICE
21/02/2023,"2,534",5,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),05 425 FE,"24,580", -   , -   , -   , -   ,PRISHTINE
22/02/2023,"2,535",6,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 HH,"33,280", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,536",7,Yurt Dýþý,RRONI FER SHPK (KOSOVA),RRONI FER SHPK (KOSOVA),06 275 DN,"29,220", -   , -   , -   , -   ,GJAKOVE
22/02/2023,"2,537",8,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"37,000", -   , -   , -   , -   ,ELBASAN
22/02/2023,"2,538",9,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"34,340", -   , -   , -   , -   ,ELBASAN
22/02/2023,"2,539",10,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 ER,"30,980", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,540",11,Yurt Ýçi,DIEL SH.P.K,DIEL SH.P.K,AA 918 VK,"34,220", -   , -   , -   , -   ,ELBASAN
22/02/2023,"2,541",12,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 804 CI,"26,300", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,542",13,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 124 GB,"34,360", -   , -   , -   , -   ,ELBASAN
22/02/2023,"2,543",14,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 131 FN,"28,480", -   , -   , -   , -   ,VITI
22/02/2023,"2,544",15,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 737 EA,"40,640", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,545",16,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 921 FK,"25,960", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,546",17,Yurt Ýçi,G.P.G COMPANY SHPK ,G.P.G COMPANY SHPK ,AA 216 AE,"25,420", -   , -   , -   , -   ,TIRANE
22/02/2023,"2,547",18,Yurt Dýþý,VAM TRADE SHPK,VAM TRADE SHPK,01 846 PJ,"29,380", -   , -   , -   , -   ,GRACANICE
22/02/2023,"2,548",19,Yurt Ýçi,RAFAELO SHPK   (MG),RAFAELO SHPK   (MG),AB 456 DC,"34,760", -   , -   , -   , -   ,TIRANE
22/02/2023,"2,549",20,Yurt Dýþý,VAM TRADE SHPK,VAM TRADE SHPK,01 596 PO,"28,300", -   , -   , -   , -   ,GRACANICE
22/02/2023,"2,550",21,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU 1009 AC,"26,200", -   , -   , -   , -   ,TETOVE
22/02/2023,"2,551",22,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,01 817 QH,"25,660", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,552",23,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 132 FI,"26,060", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,553",24,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 893 LV,"33,120", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,554",25,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),NP 096 VS,"24,700", -   , -   , -   , -   ,NOVI SAD
22/02/2023,"2,555",26,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01 785 MN,"27,200", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,556",28,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 0213 AV,"20,600", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,557",29,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 936 FS,"26,280", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,558",30,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 2216 BD,"21,680", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,559",31,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01 738 OR,"27,180", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,560",32,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 5927 AT,"23,100", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,561",33,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01 327 OD,"27,180", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,562",34,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,05 809 FK,"27,320", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,563",35,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),05 298 ER,"25,080", -   , -   , -   , -   ,VITI
22/02/2023,"2,564",36,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 0388 AD,"24,640", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,566",37,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 6081 BB,"22,960", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,567",38,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,03 714 HD,"22,960", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,568",39,Yurt Ýçi,G.P.G COMPANY SHPK ,G.P.G COMPANY SHPK ,AA 216 AE,"27,020", -   , -   , -   , -   ,TIRANE
22/02/2023,"2,569",40,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),02 758 ET,"20,860", -   , -   , -   , -   ,VITI
22/02/2023,"2,570",41,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 381 BO,"23,300", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,571",42,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA 233 HC,"25,240", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,572",43,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 663 DE,"23,000", -   , -   , -   , -   ,VITI
22/02/2023,"2,573",44,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"33,980", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,574",45,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),05 399 DB,"25,520", -   , -   , -   , -   ,VITI
22/02/2023,"2,575",46,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA962SI,"32,120", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,576",47,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),AB 834 EL,"25,180", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,577",48,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),NP 126 TR,"24,920", -   , -   , -   , -   ,VITI
22/02/2023,"2,578",50,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 ER,"33,420", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,579",51,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 HH,"34,460", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,580",52,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),PP 032 IZ,"24,440", -   , -   , -   , -   ,NOVI SAD
22/02/2023,"2,581",53,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,06 650 FN,"27,140", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,582",54,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"32,100", -   , -   , -   , -   ,ELBASAN
22/02/2023,"2,583",57,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 979 OX,"27,740", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,584",58,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),05 239 EH,"25,700", -   , -   , -   , -   ,VITI
22/02/2023,"2,585",59,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 646 FN,"26,500", -   , -   , -   , -   ,VITI
22/02/2023,"2,586",60,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),05 417 FJ,"26,320", -   , -   , -   , -   ,VITI
22/02/2023,"2,587",61,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"32,960", -   , -   , -   , -   ,ELBASAN
22/02/2023,"2,588",62,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 264 ED,"33,660", -   , -   , -   , -   ,FUSHE KRUJE
22/02/2023,"2,589",63,Yurt Dýþý,SS ALGA  (MONTENEGRO),ARMAND VELIAJ,AB 849 EP,"26,460"," 2,303.60 "," 60,953.26 ", 20.00 , 529.20 ,PODGORICE
22/02/2023,"2,590",64,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),01 121 OJ,"28,580", -   , -   , -   , -   ,PRISHTINE
22/02/2023,"2,591",65,Yurt Dýþý,SS ALGA  (MONTENEGRO),ARMAND VELIAJ,AB 031 FM,"27,000"," 2,303.60 "," 62,197.20 ", 20.00 , 540.00 ,PODGORICE
22/02/2023,"2,592",66,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 134 FI,"26,020", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,593",67,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA 283 DL,"24,540", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,594",68,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 3156 BE,"21,100", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,595",69,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,AA 051 MD,"28,160", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,596",70,Yurt Dýþý,RRONI FER SHPK (KOSOVA),RRONI FER SHPK (KOSOVA),AA 974 NK,"26,440", -   , -   , -   , -   ,GJAKOVE
22/02/2023,"2,597",71,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AB220GB,"26,320", -   , -   , -   , -   ,SHKUP
22/02/2023,"2,598",72,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05136FI,"27,240", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,599",73,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 138 FI,"26,240", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,600",75,Yurt Ýçi,VELLEZERIT HYSA SHPK,VELLEZERIT HYSA SHPK,AB 648 CR,"31,400", -   , -   , -   , -   ,ELBASAN
22/02/2023,"2,601",DURRES - M/V LADY DIVINA,Yurt Ýçi,RAFAELO SHPK   (MG),RAFAELO SHPK   (MG),TR 4137 S ,"34,920", -   , -   , -   , -   ,TIRANE
22/02/2023,"2,602",DURRES - M/V LADY DIVINA,Yurt Ýçi,RAFAELO SHPK   (MG),RAFAELO SHPK   (MG),AA 720 HM ,"35,220", -   , -   , -   , -   ,TIRANE
22/02/2023,"2,603",76,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),03 578 HD,"20,760", -   , -   , -   , -   ,VITI
22/02/2023,"2,604",77,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 941 FS,"26,860", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,605",78,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,04 981 IL,"27,900", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,606",79,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05  162 EN,"26,100", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,607",80,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 139 FI,"25,260", -   , -   , -   , -   ,FERIZAJ
22/02/2023,"2,608",83,Yurt Dýþý,DI GIPS  BULGARIA LTD,DI GIPS  BULGARIA LTD,AB 474 DF,"25,460", -   , -   , -   , -   ,SOFIA
22/02/2023,"2,609",84,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,AA 724NK,"27,400", -   , -   , -   , -   ,LIPJAN
22/02/2023,"2,610",85,Yurt Ýçi,KONTAKT SHPK,KONTAKT SHPK,AB 524 HJ,"23,400", -   , -   , -   , -   ,TIRANE
22/02/2023,"2,611",86,Yurt Dýþý,DI GIPS  BULGARIA LTD,DI GIPS  BULGARIA LTD,AA 315 ZT,"24,760", -   , -   , -   , -   ,SOFIA
23/02/2023,"2,612",87,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 0798 BG,"25,860", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,613",88,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"33,240", -   , -   , -   , -   ,ELBASAN
23/02/2023,"2,614",89,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 HH,"33,560", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,615",90,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 7714 AM,"23,740", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,616",91,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"31,580", -   , -   , -   , -   ,ELBASAN
23/02/2023,"2,617",92,Yurt Dýþý,RRONI FER SHPK (KOSOVA),RRONI FER SHPK (KOSOVA),04 425 IM,"26,660", -   , -   , -   , -   ,GJAKOVE
23/02/2023,"2,618",93,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB009ER,"32,660", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,619",97,Yurt Ýçi,G.P.G COMPANY SHPK ,G.P.G COMPANY SHPK ,AA 763 DR,"32,580", -   , -   , -   , -   ,TIRANE
23/02/2023,"2,620",98,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),01 923 UF,"27,480", -   , -   , -   , -   ,PRISHTINE
23/02/2023,"2,621",99,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,05 423 GE,"24,520", -   , -   , -   , -   ,LIPJAN
23/02/2023,"2,622",100,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 7519 AS,"21,600", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,623",101,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),NP 084 GI,"24,600", -   , -   , -   , -   ,NOVI SAD
23/02/2023,"2,624",102,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),01 935 PD,"27,640", -   , -   , -   , -   ,PRISHTINE
23/02/2023,"2,625",103,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 GL,"30,760", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,626",104,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 8977 BD,"20,540", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,627",105,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),PP 019 IR,"24,400", -   , -   , -   , -   ,NOVI SAD
23/02/2023,"2,628",106,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 053GY,"26,820", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,629",108,Yurt Ýçi,G.P.G COMPANY SHPK ,G.P.G COMPANY SHPK ,AB 974 CM,"31,500", -   , -   , -   , -   ,TIRANE
23/02/2023,"2,630",109,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 0731 BC,"21,700", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,631",110,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 962 SI,"30,500", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,632",111,Yurt Dýþý,RRONI FER SHPK (KOSOVA),RRONI FER SHPK (KOSOVA),04 421 HM,"28,680", -   , -   , -   , -   ,GJAKOVE
23/02/2023,"2,633",112,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,01 748 PT,"27,760", -   , -   , -   , -   ,LIPJAN
23/02/2023,"2,634",113,Yurt Ýçi,MACCAFERRI BALKANS SHPK,MUSTERI,AB 309 KU,"24,280"," 27,720.00 "," 27,720.00 ", 240.67 , 240.67 ,DURRES
23/02/2023,"2,635",115,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA 522 YD,"21,420", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,636",116,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AB 537 CZ,"27,800", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,638",117,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 761 CL,"33,200", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,639",118,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01113SI,"22,600", -   , -   , -   , -   ,LIPJAN
23/02/2023,"2,640",119,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA068TK,"25,120", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,641",120,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB185FF,"25,220", -   , -   , -   , -   ,TETOVE
23/02/2023,"2,642",122,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01120MF,"26,660", -   , -   , -   , -   ,LIPJAN
23/02/2023,"2,643",123,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA399VS,"25,000", -   , -   , -   , -   ,TETOVE
23/02/2023,"2,644",124,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),06 245 EO,"27,040", -   , -   , -   , -   ,VITI
23/02/2023,"2,645",125,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),NP 104 UF,"26,280", -   , -   , -   , -   ,VITI
23/02/2023,"2,646",126,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"33,300", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,647",127,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA 611 BA,"27,480", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,648",128,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),06 246 EO,"25,880", -   , -   , -   , -   ,VITI
23/02/2023,"2,649",130,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,02 999 FE,"26,360", -   , -   , -   , -   ,LIPJAN
23/02/2023,"2,650",131,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),03 506 HO,"21,580", -   , -   , -   , -   ,VITI
23/02/2023,"2,651",133,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),04 345 JF,"26,760", -   , -   , -   , -   ,VITI
23/02/2023,"2,652",134,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB009 HH,"32,500", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,653",135,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),01 255 OM,"24,920", -   , -   , -   , -   ,VITI
23/02/2023,"2,654",136,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),NP 019 FL,"24,820", -   , -   , -   , -   ,NOVI SAD
23/02/2023,"2,655",137,Yurt Ýçi,DRITAN SULAJ,MUSTERI,AB 301 KU,"37,420", 745.00 ," 27,877.90 ", 6.47 , 242.04 ,LUSHNJE
23/02/2023,"2,656",138,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 093 GE,"24,380", -   , -   , -   , -   ,TETOVE
23/02/2023,"2,657",140,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 024 HE,"34,040", -   , -   , -   , -   ,ELBASAN
23/02/2023,"2,658",141,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AB 543 FY,"22,940", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,659",142,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,03 626 HO,"24,760", -   , -   , -   , -   ,LIPJAN
23/02/2023,"2,660",143,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 264 ED,"34,640", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,661",145,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,06 628 FI,"25,380", -   , -   , -   , -   ,LIPJAN
23/02/2023,"2,662",146,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01 154 OL,"23,520", -   , -   , -   , -   ,LIPJAN
23/02/2023,"2,663",148,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 ER,"36,060", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,664",149,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 GL,"33,640", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,665",151,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 737 EA,"38,320", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,666",DURRES - M/V LADY DIVINA,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH), AB 833 GL,"35,080", -   , -   , -   , -   ,FUSHE KRUJE
23/02/2023,"2,667",152,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AB 057 GE,"24,120", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,668",153,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 9249 AK,"22,000", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,669",154,Yurt Ýçi,KONTAKT SHPK,KONTAKT SHPK,AB 524 HJ,"4,140", -   , -   , -   , -   ,TIRANE
23/02/2023,"2,670",155,Yurt Dýþý,SS ALGA  (MONTENEGRO),ARMAND VELIAJ,AA 134 OM,"26,380"," 2,303.60 "," 60,768.97 ", 20.00 , 527.60 ,PODGORICE
23/02/2023,"2,671",156,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 0320 AR,"22,700", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,672",157,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,GV 9050 AE,"26,540", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,673",158,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 1105 AC,"25,200", -   , -   , -   , -   ,SHKUP
23/02/2023,"2,674",159,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,OH 8211 AB,"24,680", -   , -   , -   , -   ,TETOVE
23/02/2023,"2,675",160,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA611 MY,"26,340", -   , -   , -   , -   ,TETOVE
