Ýrsaliye Tarihi,Ýrsaliye No,Resmi Belge No,Satýþ Tipi,Müþteri Ünvaný,Nakliyeci Ünvan,Plaka,Miktar, Nakliye Yerel Tutar , Nakliye Yerel Tutar Toplam , Nakliye Firma Tutar , Nakliye Firma Tutar Toplam ,Þehir
10/02/2023,"1,968",12337,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 GL,"33,640", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,969",12338,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK3156BE,"22,320", -   , -   , -   , -   ,SHKUP
10/02/2023,"1,970",12339,Yurt Dýþý,SS ALGA  (MONTENEGRO),ARMAND VELIAJ,AA 134 OM,"27,000"," 2,322.60 "," 62,710.20 ", 20.00 , 540.00 ,PODGORICE
10/02/2023,"1,971",12341,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"36,180", -   , -   , -   , -   ,ELBASAN
10/02/2023,"1,972",12342,Yurt Dýþý,SS ALGA  (MONTENEGRO),ARMAND VELIAJ,AB 031 FM,"27,280"," 2,322.60 "," 63,360.53 ", 20.00 , 545.60 ,PODGORICE
10/02/2023,"1,973",12345,Yurt Ýçi,G.P.G COMPANY SHPK ,G.P.G COMPANY SHPK ,AA 763DR,"27,360", -   , -   , -   , -   ,TIRANE
10/02/2023,"1,974",12347,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 421 EJ,"26,820", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,975",12348,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 537 CZ,"27,480", -   , -   , -   , -   ,TETOVE
10/02/2023,"1,976",12349,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 741 BA,"29,180", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,977",12350,Yurt Ýçi,RAFAELO SHPK   (MG),RAFAELO SHPK   (MG),TR 8375 M,"32,480", -   , -   , -   , -   ,TIRANE
10/02/2023,"1,978",12351,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"31,600", -   , -   , -   , -   ,ELBASAN
10/02/2023,"1,979",12352,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"30,700", -   , -   , -   , -   ,ELBASAN
10/02/2023,"1,980",12353,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),06 245 EO,"23,860", -   , -   , -   , -   ,VITI
10/02/2023,"1,981",12354,Yurt Dýþý,BRODOMETALURGIJA DOO,BRODOMETALURGIJA DOO,DG AM 979,"23,980", -   , -   , -   , -   ,SPLIT
10/02/2023,"1,982",12355,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 136 FI,"25,940", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,983",12356,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),NP 082 KH,"24,360", -   , -   , -   , -   ,NOVI SAD
10/02/2023,"1,984",12357,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 134 FI,"26,060", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,985",12358,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA053GY,"32,480", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,986",12360,Yurt Ýçi,ERGI SHPK,AIVI 2020 (KLEVIS DAKA),AA 074 UB,"34,420", 745.00 ," 25,642.90 ", 6.42 , 220.81 ,TIRANE
10/02/2023,"1,987",12361,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),NP 084 GJ,"23,360", -   , -   , -   , -   ,NOVI SAD
10/02/2023,"1,988",12362,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,06 394 EL,"26,440", -   , -   , -   , -   ,LIPJAN
10/02/2023,"1,989",12363,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 138 FI,"25,640", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,990",12364,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),01 560 PE,"25,820", -   , -   , -   , -   ,VITI
10/02/2023,"1,991",12365,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 925 ED,"26,940", -   , -   , -   , -   ,VITI
10/02/2023,"1,992",12366,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 712 DT,"26,520", -   , -   , -   , -   ,VITI
10/02/2023,"1,993",12367,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,06 148 FO,"27,140", -   , -   , -   , -   ,LIPJAN
10/02/2023,"1,994",12370,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),PP 038 FU,"24,840", -   , -   , -   , -   ,NOVI SAD
10/02/2023,"1,995",12371,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),PP 027 RB,"24,860", -   , -   , -   , -   ,NOVI SAD
10/02/2023,"1,996",12372,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 934 FS,"25,980", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,997",12373,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,GV 9050 AE,"25,120", -   , -   , -   , -   ,SHKUP
10/02/2023,"1,998",12374,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"33,800", -   , -   , -   , -   ,ELBASAN
10/02/2023,"1,999",12375,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"34,740", -   , -   , -   , -   ,ELBASAN
10/02/2023,"2,000",12377,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 7849 AZ,"20,980", -   , -   , -   , -   ,SHKUP
10/02/2023,"2,001",12378,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK  9601 BB,"21,300", -   , -   , -   , -   ,SHKUP
11/02/2023,"2,002",12379,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"31,040", -   , -   , -   , -   ,FUSHE KRUJE
11/02/2023,"2,003",12380,Yurt Dýþý,BRODOMETALURGIJA DOO,BRODOMETALURGIJA DOO,DG AM 433,"24,800", -   , -   , -   , -   ,SPLIT
