Ýrsaliye No,Resmi Belge No,Plaka No,Stok Kodu,Stok Adý,Miktar,Birim,Müþteri Ünvaný,Ýrsaliye Tarihi
"6,127",13850,                                                            ,EM.00.030,14 Hekur Periodik,"7,800",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,127",13850,                                                            ,EM.00.035,16 Hekur Periodik,"4,760",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,128",13851,                                                            ,DM.00.035,16 Hekur Periodik,"24,160",KG,BRODOMETALURGIJA DOO,27/04/2023
"6,129",13852,                                                            ,EM.00.035,16 Hekur Periodik,"26,640",KG,EURO ABI (KOSOVA),27/04/2023
"6,130",13854,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,380",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,131",13855,                                                            ,DM.00.015,9 Hekur Periodik,"22,900",KG,METAL MIX SHPK ,27/04/2023
"6,132",13856,                                                            ,DM.00.035,16 Hekur Periodik,"24,060",KG,METAL KOMERC LTD DOO (SIRBISTAN),27/04/2023
"6,133",13857,                                                            ,EM.00.035,16 Hekur Periodik,"10,500",KG,METAL MIX SHPK ,27/04/2023
"6,133",13857,                                                            ,EM.00.045,20 Hekur Periodik,"10,700",KG,METAL MIX SHPK ,27/04/2023
"6,134",13858,                                                            ,DM.00.010,8 Hekur Periodik,"25,140",KG,SHPK NDERIMI(KOSOVA),27/04/2023
"6,135",13859,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,540",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,136",13860,                                                            ,DM.00.010,8 Hekur Periodik,"32,020",KG,SHIJAKU SHPK (SHSH),27/04/2023
"6,137",13861,                                                            ,DM.00.020,10 Hekur Periodik,"25,880",KG,METAL KOMERC LTD DOO (SIRBISTAN),27/04/2023
"6,138",13863,                                                            ,DM.00.010,8 Hekur Periodik,"32,360",KG,LARTI SHPK (A.ISAI),27/04/2023
"6,139",13864,                                                            ,DM.00.025,12 Hekur Periodik,"23,300",KG,VAM TRADE SHPK,27/04/2023
"6,139",13864,                                                            ,EM.00.025,12 Hekur Periodik,"5,200",KG,VAM TRADE SHPK,27/04/2023
"6,140",13866,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,480",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,141",13867,                                                            ,DM.00.010,8 Hekur Periodik,"24,300",KG,GLOBAL STEEL SERVICES DOO,27/04/2023
"6,142",13868,                                                            ,EM.00.025,12 Hekur Periodik,"7,980",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,142",13868,                                                            ,EM.00.030,14 Hekur Periodik,"5,200",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,142",13868,                                                            ,EM.00.035,16 Hekur Periodik,"7,800",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,143",13869,                                                            ,EM.00.035,16 Hekur Periodik,"24,940",KG,DI GIPS  BULGARIA LTD,27/04/2023
